id,web_name,ep_this,ep_next,element_type
233,Iheanacho,9.0,9.5,4
91,Wood,8.5,9.0,4
69,Trossard,8.2,8.7,3
274,Mendy,7.8,8.3,2
301,Lingard,8.5,8.0,3
6,Lacazette,7.0,8.0,4
252,Alisson,7.5,8.0,1
275,Mahrez,7.5,8.0,3
224,Vardy,7.0,7.5,4
388,Kane,8.3,7.3,4
652,Kabak,6.5,7.0,2
255,Robertson,6.5,7.0,2
588,Welbeck,6.2,6.7,4
272,De Bruyne,6.2,6.7,3
589,Phillips,6.0,6.5,2
251,Mané,6.0,6.5,3
100,McNeil,5.5,6.0,3
138,Milivojevic,6.5,6.0,3
254,Salah,5.5,6.0,3
152,Coleman,6.0,6.0,2
282,Jesus,5.5,6.0,4
365,Redmond,5.8,5.8,3
40,Trézéguet,6.3,5.8,3
273,Stones,5.2,5.7,2
62,Dunk,5.2,5.7,2
280,Laporte,5.2,5.7,2
377,Adams,5.5,5.5,4
128,Guaita,6.0,5.5,1
93,Vydra,5.0,5.5,4
508,Rodríguez,5.5,5.5,3
300,Shaw,6.0,5.5,2
392,Lucas Moura,6.3,5.3,3
278,Ederson,4.8,5.3,1
556,Dias,4.8,5.3,2
445,Bowen,5.8,5.3,3
368,Armstrong,5.2,5.2,3
229,Pérez,4.5,5.0,3
298,Maguire,5.5,5.0,2
358,Callum Robinson,4.5,5.0,4
464,Dendoncker,4.5,5.0,3
648,Diagne,4.5,5.0,4
548,Mendy,5.5,5.0,1
120,Mount,5.5,5.0,3
119,Pulisic,5.5,5.0,3
284,Foden,4.5,5.0,3
277,Cancelo,4.5,5.0,2
308,Lindelöf,2.8,5.0,2
306,Rashford,4.1,5.0,3
253,Fabinho,4.5,5.0,3
570,Raphinha,6.2,4.7,3
315,Greenwood,3.8,4.5,3
213,Meslier,5.8,4.3,1
67,Veltman,3.8,4.3,2
366,Ings,3.2,4.2,4
370,Ward-Prowse,3.2,4.2,3
514,Watkins,4.7,4.2,4
356,Osborn,4.5,4.0,3
268,Agüero,3.5,4.0,4
68,Maupay,3.5,4.0,4
57,Groß,3.5,4.0,3
302,Fernandes,4.5,4.0,3
305,Henderson,4.5,4.0,1
134,Ward,4.5,4.0,2
465,Traoré,3.5,4.0,3
561,Fofana,3.5,4.0,2
405,Ndombele,5.0,4.0,3
163,Davies,3.0,4.0,3
164,Calvert-Lewin,4.0,4.0,4
202,Bamford,5.2,3.7,4
271,Gündogan,3.2,3.7,3
597,Sánchez,3.2,3.7,1
287,Torres,3.2,3.7,3
109,Rüdiger,4.0,3.5,2
102,Azpilicueta,4.0,3.5,2
296,Pogba,4.0,3.5,3
141,Zaha,4.0,3.5,3
504,Fabio Silva,3.0,3.5,4
117,Werner,4.0,3.5,4
498,Castagne,3.0,3.5,2
236,Ndidi,3.0,3.5,3
217,Schmeichel,3.0,3.5,1
219,Evans,3.0,3.5,2
116,Christensen,4.0,3.5,2
474,Neto,3.0,3.5,3
232,Chilwell,4.0,3.5,2
417,Johnstone,3.0,3.5,1
313,Wan-Bissaka,4.0,3.5,2
270,Walker,2.8,3.3,2
20,Willock,2.3,3.3,3
584,Rodon,4.3,3.3,2
497,Murphy,2.3,3.3,3
184,Mitrović,3.3,3.3,4
18,Pépé,2.3,3.3,3
340,Joelinton,2.3,3.3,4
328,Lascelles,2.3,3.3,2
266,Fernandinho,2.5,3.0,2
125,Cahill,3.5,3.0,2
383,Lloris,4.0,3.0,1
221,Albrighton,2.5,3.0,3
531,Thiago,2.5,3.0,3
105,Jorginho,3.5,3.0,3
139,van Aanholt,3.5,3.0,2
309,McTominay,3.5,3.0,3
13,Chambers,2.0,3.0,2
567,Partey,2.0,3.0,3
8,Leno,1.7,2.7,1
571,Andersen,2.7,2.7,2
74,White,2.2,2.7,2
449,Soucek,3.2,2.7,3
286,Rodrigo,2.2,2.7,3
281,Bernardo Silva,2.2,2.7,3
326,Dubravka,1.3,2.7,1
437,Antonio,3.8,2.5,4
299,Fred,3.0,2.5,3
228,Tielemans,2.0,2.5,3
114,Ziyech,3.0,2.5,3
241,Milner,2.0,2.5,3
455,Patrício,2.0,2.5,1
500,Havertz,3.0,2.5,3
243,Wijnaldum,2.0,2.5,3
431,Fabianski,2.8,2.3,1
276,Sterling,1.8,2.3,3
76,Bissouma,1.8,2.3,3
200,Dallas,3.8,2.3,2
197,Ayling,3.8,2.3,2
549,Llorente,3.8,2.3,2
54,Lallana,1.8,2.3,3
4,Aubameyang,1.3,2.3,3
398,Sánchez,3.3,2.3,2
450,Fornals,2.1,2.3,3
396,Højbjerg,3.3,2.3,3
83,Pieters,2.5,2.2,2
362,Bertrand,2.2,2.2,2
148,Walcott,1.7,2.2,3
565,Diallo,2.2,2.2,3
12,Martínez,2.7,2.2,1
369,Vestergaard,2.2,2.2,2
142,Schlupp,2.5,2.0,3
23,Smith Rowe,0.8,2.0,3
564,Carlos Vinicius,3.0,2.0,4
166,Richarlison,2.0,2.0,4
24,Saka,0.8,2.0,3
113,Kanté,0.0,2.0,3
333,Krafth,1.0,2.0,2
373,Reed,2.0,2.0,3
557,Lookman,2.7,2.0,3
201,Alioski,3.5,2.0,2
133,Kouyaté,2.5,2.0,3
422,Furlong,1.5,2.0,2
144,Riedewald,2.5,2.0,3
558,Coufal,2.5,2.0,2
402,Tanganga,3.0,2.0,2
104,Alonso,2.5,2.0,2
9,Xhaka,0.8,2.0,3
